"","observation","kingdom","family","genus","specname","longitude","latitude"
"150",834,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-123.3069000244,38.5794563293
"653",2598,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.030632019,37.820766449
"949",3495,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.1926422119,37.8446807861
"960",3757,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.1232376099,37.770614624
"1206",5321,"Fungi","Amanitaceae","Amanita","Amanita muscaria",5.1485648155,51.1419639587
"1376",5915,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.2863388062,37.4641036987
"1985",8910,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.91847229,38.0704612732
"2077",9082,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.7463684082,38.5274810791
"2095",9152,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.781036377,38.6196670532
"2280",9626,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.193764,37.845958
"2936",10826,"Fungi","Amanitaceae","Amanita","Amanita brunnescens",-81.792009,36.117683
"3266",11606,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.579988,38.127541
"3975",13885,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.2355496883,37.409505354
"4157",14396,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.7835679054,38.6118808276
"4490",15205,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.13512,37.753425
"4727",15904,"Fungi","Amanitaceae","Amanita","Amanita muscaria",171.730484,-43.150089
"5404",18006,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.644093,37.941706
"10344",37526,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.2948265076,37.1959117336
"10585",38441,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.1562957764,37.0277182754
"10588",38455,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-123.8160359859,39.4085550191
"10711",38963,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.190931,37.842894
"10728",39039,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.1844180409,37.1802920782
"10757",39088,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.2782611847,37.1004645102
"10858",39718,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.2383575439,38.2771568298
"10904",39982,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.1569290161,37.1353645325
"10969",40216,"Fungi","Amanitaceae","Amanita","Amanita vaginata",-122.2800636292,37.1146645322
"12894",45882,"Fungi","Amanitaceae","Amanita","Amanita muscaria",18.148727417,59.2854384407
"12898",45904,"Fungi","Amanitaceae","Amanita","Amanita muscaria",18.3639681,59.1352033
"12900",45908,"Fungi","Amanitaceae","Amanita","Amanita citrina",18.3639681,59.1352033
"12910",45948,"Fungi","Amanitaceae","Amanita","Amanita muscaria",18.2694783,59.1843668
"13817",48218,"Fungi","Amanitaceae","Amanita","Amanita smithiana",145.913729,-42.155266
"15793",52796,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.791247,38.614032
"15874",53060,"Fungi","Amanitaceae","Amanita","Amanita augusta",-83.464169,35.625049
"15890",53103,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-83.099217,35.620304
"19051",60754,"Fungi","Amanitaceae","Amanita","Amanita bisporigera",-81.1808181,40.9771265
"19167",61081,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.7813220504,38.6123579432
"19543",62278,"Fungi","Amanitaceae","Amanita","Amanita muscaria",6.3169995589,49.8358859426
"19835",62859,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.224146,37.888768
"19986",63108,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.117983,37.755776
"23538",72252,"Fungi","Amanitaceae","Amanita","Amanita velosa",-121.960111,37.905867
"23636",72528,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.1744707302,37.7916039756
"23665",72617,"Fungi","Amanitaceae","Amanita","Amanita velosa",-122.1750125364,37.7918153481
"23671",72624,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.940685,36.515917
"23850",73175,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.3106223746,47.6686118175
"26093",78633,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.3085165024,47.6578000999
"29155",85503,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-110.709571,32.414059
"30464",88455,"Fungi","Amanitaceae","Amanita","Amanita pantherina",-122.3120723,47.6569736
"31599",91228,"Fungi","Amanitaceae","Amanita","Amanita muscaria muscaria",-1.593189,50.799154
"31602",91231,"Fungi","Amanitaceae","Amanita","Amanita muscaria muscaria",-1.593189,50.799154
"31604",91233,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-1.593189,50.799154
"31605",91234,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-1.593189,50.799154
"32484",93631,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-121.734653,36.82092
"33204",95211,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-75.5431482196,6.1200705462
"37132",104228,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-90.5972116576,47.696876151
"37220",104419,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-90.5821054564,47.6927166468
"40439",112033,"Fungi","Amanitaceae","Amanita","Amanita muscaria formosa",-81.441779,41.1014451
"40440",112035,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-81.441779,41.1014451
"40441",112037,"Fungi","Amanitaceae","Amanita","Amanita muscaria formosa",-81.441779,41.1014451
"40652",112406,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-106.6567674062,39.4898252364
"42560",117096,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.5115,37.587
"42695",117361,"Fungi","Amanitaceae","Amanita","Amanita muscaria formosa",-81.5206666667,41.1246666667
"45219",124598,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-81.5966542,41.2082862
"45508",125389,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.2471536,46.5666365
"45750",125970,"Fungi","Amanitaceae","Amanita","Amanita virosa",-81.3550663,41.0604213
"46440",127354,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.097442627,46.777845441
"46879",128633,"Fungi","Amanitaceae","Amanita","Amanita flavoconia",-81.5706109,41.2824455
"47114",129263,"Fungi","Amanitaceae","Amanita","Amanita rubescens",-81.5966542,41.2082862
"50994",139581,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-103.5399749807,43.8275724214
"51812",141353,"Fungi","Amanitaceae","Amanita","Amanita muscaria",0.0509279129,51.6616096265
"55284",148071,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.1645632,47.0330312
"56404",150276,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.1690263958,47.0325046957
"57550",152529,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.0638586,37.0870873
"57662",152688,"Fungi","Amanitaceae","Amanita","Amanita calyptroderma",-122.2962856293,37.4460731183
"57794",152968,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.1716003418,46.9690080331
"57989",153361,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.9270414,47.0631652
"58402",154531,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-121.931433,36.603501
"59442",156937,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.1562852,46.9736986
"59474",157064,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-124.16791,47.03248
"59479",157190,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.931704,47.0476219
"59489",157231,"Fungi","Amanitaceae","Amanita","Amanita muscaria",-122.9769726,47.0720002
"59640",158117,"Fungi","Amanitaceae","Amanita","Amanita phalloides",-122.688828,38.570119
